SITE,DTS,COUNTID,LANE,DIR,SPD,AX,GW_TOT,HEADT,GAPT,LENTH,CS,AWT01,AWT02,AWT03,AWT04,AWT05,AWT06,AWT07,AWT08,AWT09,W1_2,W2_3,W3_4,W4_5,W5_6,W6_7,W7_8,W8_9,TYPE
405,20000104T000557,0,1,1,101,2,17930,8.8,8.7,835,3,6050,11880,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,11
405,20000104T002824,1,1,1,83,2,5230,5.1,5,640,4,2870,2360,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,11
405,20000104T003457,2,1,1,84,2,8310,5,4.9,750,4,3870,4440,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,11
405,20000104T011414,3,1,1,89,2,7550,34.8,34.7,832,4,3730,3820,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,11
405,20000104T022526,4,1,1,104,3,20930,99.9,99.9,950,3,6400,9770,4760,0,0,0,0,0,0,566,129,0,0,0,0,0,0,12
405,20000104T030008,5,1,1,86,4,27400,6.3,6.2,1444,5,5690,9340,6550,5820,0,0,0,0,0,418,472,352,0,0,0,0,0,1111
405,20000104T030503,6,1,1,88,4,18860,20.4,20.3,1898,5,5540,7020,2810,3490,0,0,0,0,0,534,573,536,0,0,0,0,0,1111
405,20000104T031004,7,1,1,80,2,10770,3.7,3.5,757,4,4810,5960,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,11
405,20000104T031428,8,1,1,86,3,26510,9.1,8.9,811,4,8630,9350,8530,0,0,0,0,0,0,422,134,0,0,0,0,0,0,12
405,20000104T041850,9,1,1,86,2,6840,57.3,57.2,736,4,3400,3440,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,11
405,20000104T042707,10,1,1,99,2,13200,2.5,2.4,848,3,4090,9110,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,11
405,20000104T044004,11,1,1,89,2,8110,82.7,82.6,822,4,3750,4360,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,11
405,20000104T044109,12,1,1,86,2,6360,11.7,11.5,743,4,2870,3490,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,11
405,20000104T045244,13,1,1,85,2,7010,42.5,42.4,736,4,3710,3300,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,11
405,20000104T045531,14,1,1,90,2,9510,48.7,48.6,790,4,3580,5930,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,11
405,20000104T050741,15,1,1,81,4,20640,15.1,15,1447,6,6720,6390,3800,3730,0,0,0,0,0,383,677,132,0,0,0,0,0,112
405,20000104T050948,16,1,1,80,2,5860,6.5,6.4,669,4,3230,2630,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,11
405,20000104T051005,17,1,1,79,4,8900,16.6,16.3,1664,5,2370,2540,1570,2420,0,0,0,0,0,425,386,598,0,0,0,0,0,1111
405,20000104T051055,18,1,1,86,2,8530,11.4,11.3,790,4,3710,4820,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,11
405,20000104T051124,19,1,1,83,4,14230,29,28.6,1826,5,4630,4960,2450,2190,0,0,0,0,0,552,596,470,0,0,0,0,0,1111
405,20000104T051303,20,1,1,102,2,3620,41.6,41.5,590,4,1250,2370,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,11
405,20000104T051320,21,1,1,108,3,6300,16.8,16.6,1137,6,1310,2760,2230,0,0,0,0,0,0,356,526,0,0,0,0,0,0,111
405,20000104T051324,22,1,1,107,4,14130,3.9,3.5,1643,3,3600,7040,2930,560,0,0,0,0,0,598,136,654,0,0,0,0,0,121
405,20000104T051557,23,1,1,88,5,13430,8.4,8.3,1233,6,6530,1680,2260,1840,1120,0,0,0,0,373,373,131,136,0,0,0,0,113
405,20000104T051814,24,1,1,88,5,15090,51.2,51.1,1441,6,4790,2360,2190,2900,2850,0,0,0,0,320,130,604,132,0,0,0,0,122
405,20000104T052002,25,1,1,91,2,10450,36.9,36.7,802,4,5610,4840,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,11
405,20000104T052031,26,1,1,96,3,5010,10.6,10.5,990,6,1470,1980,1560,0,0,0,0,0,0,316,482,0,0,0,0,0,0,111
